hash|m_total|fuel_weight|span|AR|taper|twist|mission2_throttle_climb|mission2_throttle_turn|mission2_throttle_level|mission3_throttle_climb|mission3_throttle_turn|mission3_throttle_level|flight_time|N_laps|score2|score3|SCORE
1963897528543531429|8500.0|3.859298040625376|1800.0|5.408601126958267|0.55|0.0|0.9|0.7|0.5|0.9|0.7|0.5|91.93999999999896|9|1.9892820729668923|3.0|2.494641036483446
1963897528543531429|8500.0|3.859298040625376|1800.0|5.408601126958267|0.55|0.0|0.9|0.7|0.55|0.9|0.7|0.55|91.83999999999897|9|1.9903592529243903|3.0|2.4951796264621953
1963897528543531429|8500.0|3.859298040625376|1800.0|5.408601126958267|0.55|0.0|0.9|0.75|0.5|0.9|0.75|0.5|91.93999999999896|9|1.9892820729668923|3.0|2.494641036483446
1963897528543531429|8500.0|3.859298040625376|1800.0|5.408601126958267|0.55|0.0|0.9|0.75|0.55|0.9|0.75|0.55|91.73999999999896|9|1.9914387812140402|3.0|2.49571939060702
1963897528543531429|8500.0|3.859298040625376|1800.0|5.408601126958267|0.55|0.0|0.95|0.7|0.5|0.95|0.7|0.5|91.579999999999|9|1.993170930209391|3.0|2.4965854651046957
1963897528543531429|8500.0|3.859298040625376|1800.0|5.408601126958267|0.55|0.0|0.95|0.7|0.55|0.95|0.7|0.55|91.279999999999|9|1.9964350765619634|3.0|2.498217538280982
1963897528543531429|8500.0|3.859298040625376|1800.0|5.408601126958267|0.55|0.0|0.95|0.75|0.5|0.95|0.75|0.5|91.279999999999|9|1.9964350765619634|3.0|2.498217538280982
1963897528543531429|8500.0|3.859298040625376|1800.0|5.408601126958267|0.55|0.0|0.95|0.75|0.55|0.95|0.75|0.55|91.179999999999|9|1.9975278985366962|3.0|2.498763949268348
396751582623190624|8500.0|3.870559502296016|1799.9999999999998|5.408601126958264|0.65|0.0|0.9|0.7|0.5|0.9|0.7|0.5|91.86999999999895|9|1.992924785022315|3.0|2.4964623925111575
396751582623190624|8500.0|3.870559502296016|1799.9999999999998|5.408601126958264|0.65|0.0|0.9|0.7|0.55|0.9|0.7|0.55|91.56999999999898|9|1.9961777874849842|3.0|2.498088893742492
396751582623190624|8500.0|3.870559502296016|1799.9999999999998|5.408601126958264|0.65|0.0|0.9|0.75|0.5|0.9|0.75|0.5|91.76999999999896|9|1.9940067560204864|3.0|2.497003378010243
396751582623190624|8500.0|3.870559502296016|1799.9999999999998|5.408601126958264|0.65|0.0|0.9|0.75|0.55|0.9|0.75|0.55|91.469999999999|9|1.9972668634524988|3.0|2.4986334317262493
396751582623190624|8500.0|3.870559502296016|1799.9999999999998|5.408601126958264|0.65|0.0|0.95|0.7|0.5|0.95|0.7|0.5|91.61999999999898|9|1.9956341410172458|3.0|2.497817070508623
396751582623190624|8500.0|3.870559502296016|1799.9999999999998|5.408601126958264|0.65|0.0|0.95|0.7|0.55|0.95|0.7|0.55|91.419999999999|9|1.9978122949026478|3.0|2.498906147451324
396751582623190624|8500.0|3.870559502296016|1799.9999999999998|5.408601126958264|0.65|0.0|0.95|0.75|0.5|0.95|0.75|0.5|91.419999999999|9|1.9978122949026478|3.0|2.498906147451324
396751582623190624|8500.0|3.870559502296016|1799.9999999999998|5.408601126958264|0.65|0.0|0.95|0.75|0.55|0.95|0.75|0.55|91.219999999999|9|2.0|3.0|2.5
